partner_id	evaluationId	announcementId	announcementNo	announcementTitle	branchName	workStatus	evaluationStatus	priority	bidType	category	prefecture	publishDate	deadline	evaluatedAt	organization
ptn-12	182	ann-31	31	令和6年度 上流地区トンネル照明更新工事	九州支店	not_started	all_met	5	open_competitive	電気工事	東京都	2025-10-28	2025-11-30	2025-10-30T10:07:00	国土交通省 関東地方整備局
ptn-12	195	ann-33	33	トンネル防災設備工事（第3期）	札幌支店	in_progress	other_only_unmet	3	open_competitive	電気工事	神奈川県	2025-10-23	2025-11-30	2025-10-26T14:38:00	国土交通省 関東地方整備局
ptn-12	169	ann-29	29	第三調整池整備工事その9	広島支店	completed	all_met	5	unknown	土木工事	東京都	2025-10-27	2025-11-29	2025-10-28T15:36:00	国土交通省 関東地方整備局
ptn-12	156	ann-26	26	令和7年度 本地区水門改修工事	本店	in_progress	unmet	4	open_counter	機械設備工事	東京都	2025-10-29	2025-11-28	2025-11-01T11:05:00	国土交通省 関東地方整備局
ptn-12	130	ann-22	22	河川浚渫工事（南工区）	横浜支店	completed	unmet	5	designated_competitive	土木工事	千葉県	2025-10-25	2025-11-27	2025-10-26T12:03:00	国土交通省 関東地方整備局
ptn-12	143	ann-24	24	西堤防補強工事その4	京都支店	not_started	unmet	3	planning_competition	土木工事	東京都	2025-10-17	2025-11-27	2025-10-19T16:34:00	国土交通省 関東地方整備局
ptn-12	104	ann-18	18	橋梁床版補修工事（第8期）	名古屋支店	not_started	all_met	5	open_competitive	土木工事	埼玉県	2025-10-18	2025-11-26	2025-10-20T13:01:00	国土交通省 関東地方整備局
ptn-12	117	ann-20	20	橋梁支承補修工事（丙地区・第10工区）	新潟支店	in_progress	other_only_unmet	5	open_competitive	土木工事	千葉県	2025-10-21	2025-11-26	2025-10-24T17:32:00	国土交通省 関東地方整備局
ptn-12	91	ann-16	16	令和6年度 B地区橋梁架替工事	北陸支店	not_started	all_met	4	open_competitive	土木工事	群馬県	2025-10-18	2025-11-25	2025-10-19T09:30:00	国土交通省 関東地方整備局
ptn-12	78	ann-13	13	橋梁補修工事（第3期）	仙台支店	in_progress	unmet	2	opinion_request	土木工事	福島県	2025-10-14	2025-11-24	2025-10-17T14:59:00	国土交通省 関東地方整備局
ptn-13	189	ann-32	32	トンネル換気設備工事（下流工区）	福岡支店	completed	other_only_unmet	2	open_competitive	機械設備工事	東京都	2025-11-02	2025-11-30	2025-11-05T17:56:00	国土交通省 関東地方整備局
ptn-13	202	ann-34	34	右岸トンネル内装板補修工事その4	静岡支店	not_started	unmet	4	open_competitive	土木工事	神奈川県	2025-10-29	2025-11-30	2025-10-30T12:27:00	国土交通省 関東地方整備局
ptn-13	163	ann-28	28	河川環境整備工事（第8期）	仙台支店	not_started	all_met	5	opinion_request	土木工事	東京都	2025-10-19	2025-11-29	2025-10-20T09:54:00	国土交通省 関東地方整備局
ptn-13	176	ann-30	30	トンネル補修工事（第四地区・第10工区）	四国支店	in_progress	all_met	5	other	土木工事	東京都	2025-11-01	2025-11-29	2025-11-03T13:25:00	国土交通省 関東地方整備局
ptn-13	150	ann-25	25	排水機場整備工事（中央地区・第5工区）	東北支店	completed	unmet	4	preferred_designation	機械設備工事	東京都	2025-10-20	2025-11-28	2025-10-23T14:23:00	国土交通省 関東地方整備局
ptn-13	124	ann-21	21	令和8年度 北地区河川護岸工事	東京支店	not_started	unmet	5	designated_competitive	土木工事	千葉県	2025-10-22	2025-11-27	2025-10-23T15:21:00	国土交通省 関東地方整備局
ptn-13	137	ann-23	23	河川改修工事（第3期）	神戸支店	in_progress	unmet	3	negotiated_contract	土木工事	東京都	2025-10-18	2025-11-27	2025-10-20T10:52:00	国土交通省 関東地方整備局
ptn-13	111	ann-19	19	乙橋梁伸縮装置補修工事その9	千葉支店	not_started	other_only_unmet	5	open_competitive	土木工事	埼玉県	2025-10-28	2025-11-26	2025-10-31T11:50:00	国土交通省 関東地方整備局
ptn-13	85	ann-15	15	橋梁塗装工事（A地区・第5工区）	静岡支店	in_progress	all_met	4	other	塗装工事	栃木県	2025-10-27	2025-11-25	2025-10-28T12:48:00	国土交通省 関東地方整備局
ptn-13	98	ann-17	17	歩道橋設置工事（C工区）	大阪支店	in_progress	all_met	5	open_competitive	土木工事	埼玉県	2025-10-16	2025-11-25	2025-10-18T16:19:00	国土交通省 関東地方整備局
ptn-14	209	ann-35	35	庁舎改修工事（A地区・第5工区）	横浜支店	completed	unmet	4	open_competitive	建築工事	神奈川県	2025-10-25	2025-12-01	2025-10-27T10:16:00	国土交通省 関東地方整備局
ptn-14	183	ann-31	31	令和6年度 上流地区トンネル照明更新工事	名古屋支店	not_started	other_only_unmet	2	open_competitive	電気工事	東京都	2025-10-28	2025-11-30	2025-10-31T11:14:00	国土交通省 関東地方整備局
ptn-14	196	ann-33	33	トンネル防災設備工事（第3期）	新潟支店	in_progress	unmet	3	open_competitive	電気工事	神奈川県	2025-10-23	2025-11-30	2025-10-24T15:45:00	国土交通省 関東地方整備局
ptn-14	170	ann-29	29	第三調整池整備工事その9	北陸支店	completed	all_met	5	unknown	土木工事	東京都	2025-10-27	2025-11-29	2025-10-29T16:43:00	国土交通省 関東地方整備局
ptn-14	157	ann-27	27	樋門補修工事（第一工区）	札幌支店	in_progress	all_met	5	document_request	土木工事	東京都	2025-10-21	2025-11-28	2025-10-22T12:12:00	国土交通省 関東地方整備局
ptn-14	131	ann-22	22	河川浚渫工事（南工区）	関東支店	not_started	unmet	3	designated_competitive	土木工事	千葉県	2025-10-25	2025-11-27	2025-10-27T13:10:00	国土交通省 関東地方整備局
ptn-14	144	ann-24	24	西堤防補強工事その4	沖縄支店	not_started	unmet	4	planning_competition	土木工事	東京都	2025-10-17	2025-11-27	2025-10-20T17:41:00	国土交通省 関東地方整備局
ptn-14	105	ann-18	18	橋梁床版補修工事（第8期）	京都支店	in_progress	other_only_unmet	5	open_competitive	土木工事	埼玉県	2025-10-18	2025-11-26	2025-10-21T14:08:00	国土交通省 関東地方整備局
ptn-14	118	ann-20	20	橋梁支承補修工事（丙地区・第10工区）	本店	in_progress	unmet	5	open_competitive	土木工事	千葉県	2025-10-21	2025-11-26	2025-10-22T09:39:00	国土交通省 関東地方整備局
ptn-14	92	ann-16	16	令和6年度 B地区橋梁架替工事	横浜支店	not_started	all_met	4	open_competitive	土木工事	群馬県	2025-10-18	2025-11-25	2025-10-20T10:37:00	国土交通省 関東地方整備局
ptn-15	216	ann-36	36	令和8年度 B地区庁舎建替工事	神戸支店	in_progress	unmet	5	designated_competitive	建築工事	神奈川県	2025-10-24	2025-12-01	2025-10-27T17:05:00	国土交通省 関東地方整備局
ptn-15	190	ann-32	32	トンネル換気設備工事（下流工区）	千葉支店	completed	unmet	3	open_competitive	機械設備工事	東京都	2025-11-02	2025-11-30	2025-11-03T09:03:00	国土交通省 関東地方整備局
ptn-15	203	ann-34	34	右岸トンネル内装板補修工事その4	東京支店	not_started	unmet	4	open_competitive	土木工事	神奈川県	2025-10-29	2025-11-30	2025-10-31T13:34:00	国土交通省 関東地方整備局
ptn-15	164	ann-28	28	河川環境整備工事（第8期）	静岡支店	not_started	all_met	5	opinion_request	土木工事	東京都	2025-10-19	2025-11-29	2025-10-21T10:01:00	国土交通省 関東地方整備局
ptn-15	177	ann-30	30	トンネル補修工事（第四地区・第10工区）	大阪支店	in_progress	other_only_unmet	2	other	土木工事	東京都	2025-11-01	2025-11-29	2025-11-04T14:32:00	国土交通省 関東地方整備局
ptn-15	151	ann-26	26	令和7年度 本地区水門改修工事	福岡支店	not_started	all_met	5	open_counter	機械設備工事	東京都	2025-10-29	2025-11-28	2025-10-30T15:30:00	国土交通省 関東地方整備局
ptn-15	125	ann-21	21	令和8年度 北地区河川護岸工事	広島支店	in_progress	unmet	2	designated_competitive	土木工事	千葉県	2025-10-22	2025-11-27	2025-10-24T16:28:00	国土交通省 関東地方整備局
ptn-15	138	ann-23	23	河川改修工事（第3期）	九州支店	in_progress	unmet	4	negotiated_contract	土木工事	東京都	2025-10-18	2025-11-27	2025-10-21T11:59:00	国土交通省 関東地方整備局
ptn-15	112	ann-19	19	乙橋梁伸縮装置補修工事その9	東北支店	not_started	unmet	5	open_competitive	土木工事	埼玉県	2025-10-28	2025-11-26	2025-10-29T12:57:00	国土交通省 関東地方整備局
ptn-15	99	ann-17	17	歩道橋設置工事（C工区）	神戸支店	completed	other_only_unmet	5	open_competitive	土木工事	埼玉県	2025-10-16	2025-11-25	2025-10-19T17:26:00	国土交通省 関東地方整備局
ptn-16															
ptn-17	113	ann-19	19	乙橋梁伸縮装置補修工事その9	札幌支店	not_started	unmet	2	open_competitive	土木工事	埼玉県	2025-10-28	2025-11-26	2025-10-30T13:04:00	国土交通省 関東地方整備局
ptn-18	133	ann-23	23	河川改修工事（第3期）	横浜支店	not_started	all_met	5	negotiated_contract	土木工事	東京都	2025-10-18	2025-11-27	2025-10-19T15:24:00	国土交通省 関東地方整備局
ptn-18	120	ann-20	20	橋梁支承補修工事（丙地区・第10工区）	静岡支店	completed	unmet	3	open_competitive	土木工事	千葉県	2025-10-21	2025-11-26	2025-10-24T11:53:00	国土交通省 関東地方整備局
ptn-19	153	ann-26	26	令和7年度 本地区水門改修工事	東北支店	not_started	other_only_unmet	5	open_counter	機械設備工事	東京都	2025-10-29	2025-11-28	2025-11-01T17:44:00	国土交通省 関東地方整備局
ptn-19	127	ann-22	22	河川浚渫工事（南工区）	東京支店	in_progress	all_met	4	designated_competitive	土木工事	千葉県	2025-10-25	2025-11-27	2025-10-26T09:42:00	国土交通省 関東地方整備局
ptn-19	140	ann-24	24	西堤防補強工事その4	神戸支店	completed	all_met	5	planning_competition	土木工事	東京都	2025-10-17	2025-11-27	2025-10-19T13:13:00	国土交通省 関東地方整備局
ptn-20	173	ann-29	29	第三調整池整備工事その9	四国支店	not_started	unmet	4	unknown	土木工事	東京都	2025-10-27	2025-11-29	2025-10-29T10:04:00	国土交通省 関東地方整備局
ptn-20	147	ann-25	25	排水機場整備工事（中央地区・第5工区）	沖縄支店	in_progress	other_only_unmet	5	preferred_designation	機械設備工事	東京都	2025-10-20	2025-11-28	2025-10-23T11:02:00	国土交通省 関東地方整備局
ptn-20	160	ann-27	27	樋門補修工事（第一工区）	仙台支店	completed	unmet	2	document_request	土木工事	東京都	2025-10-21	2025-11-28	2025-10-22T15:33:00	国土交通省 関東地方整備局
ptn-20	134	ann-23	23	河川改修工事（第3期）	関東支店	not_started	all_met	5	negotiated_contract	土木工事	東京都	2025-10-18	2025-11-27	2025-10-20T16:31:00	国土交通省 関東地方整備局
ptn-21	193	ann-33	33	トンネル防災設備工事（第3期）	千葉支店	not_started	all_met	5	open_competitive	電気工事	神奈川県	2025-10-23	2025-11-30	2025-10-24T12:24:00	国土交通省 関東地方整備局
ptn-21	167	ann-28	28	河川環境整備工事（第8期）	北陸支店	in_progress	unmet	3	opinion_request	土木工事	東京都	2025-10-19	2025-11-29	2025-10-21T13:22:00	国土交通省 関東地方整備局
ptn-21	180	ann-30	30	トンネル補修工事（第四地区・第10工区）	名古屋支店	completed	unmet	4	other	土木工事	東京都	2025-11-01	2025-11-29	2025-11-04T17:53:00	国土交通省 関東地方整備局
ptn-21	154	ann-26	26	令和7年度 本地区水門改修工事	札幌支店	not_started	unmet	2	open_counter	機械設備工事	東京都	2025-10-29	2025-11-28	2025-10-30T09:51:00	国土交通省 関東地方整備局
ptn-21	141	ann-24	24	西堤防補強工事その4	九州支店	not_started	other_only_unmet	5	planning_competition	土木工事	東京都	2025-10-17	2025-11-27	2025-10-20T14:20:00	国土交通省 関東地方整備局
ptn-22	213	ann-36	36	令和8年度 B地区庁舎建替工事	関東支店	not_started	other_only_unmet	3	designated_competitive	建築工事	神奈川県	2025-10-24	2025-12-01	2025-10-27T14:44:00	国土交通省 関東地方整備局
ptn-22	187	ann-32	32	トンネル換気設備工事（下流工区）	京都支店	in_progress	all_met	5	open_competitive	機械設備工事	東京都	2025-11-02	2025-11-30	2025-11-03T15:42:00	国土交通省 関東地方整備局
ptn-22	200	ann-34	34	右岸トンネル内装板補修工事その4	本店	completed	all_met	1	open_competitive	土木工事	神奈川県	2025-10-29	2025-11-30	2025-10-31T10:13:00	国土交通省 関東地方整備局
ptn-22	174	ann-29	29	第三調整池整備工事その9	大阪支店	not_started	unmet	4	unknown	土木工事	東京都	2025-10-27	2025-11-29	2025-10-30T11:11:00	国土交通省 関東地方整備局
ptn-22	148	ann-25	25	排水機場整備工事（中央地区・第5工区）	福岡支店	in_progress	unmet	2	preferred_designation	機械設備工事	東京都	2025-10-20	2025-11-28	2025-10-21T12:09:00	国土交通省 関東地方整備局
ptn-22	161	ann-27	27	樋門補修工事（第一工区）	静岡支店	not_started	unmet	3	document_request	土木工事	東京都	2025-10-21	2025-11-28	2025-10-23T16:40:00	国土交通省 関東地方整備局
ptn-23	233	ann-39	39	乙学校耐震補強工事その9	札幌支店	not_started	unmet	5	planning_competition	建築工事	富山県	2025-10-31	2025-12-02	2025-11-02T16:04:00	国土交通省 関東地方整備局
ptn-23	207	ann-35	35	庁舎改修工事（A地区・第5工区）	広島支店	in_progress	other_only_unmet	3	open_competitive	建築工事	神奈川県	2025-10-25	2025-12-01	2025-10-28T17:02:00	国土交通省 関東地方整備局
ptn-23	220	ann-37	37	学校体育館建設工事（C工区）	九州支店	completed	unmet	4	designated_competitive	建築工事	神奈川県	2025-11-01	2025-12-01	2025-11-02T12:33:00	国土交通省 関東地方整備局
ptn-23	181	ann-31	31	令和6年度 上流地区トンネル照明更新工事	神戸支店	not_started	all_met	5	open_competitive	電気工事	東京都	2025-10-28	2025-11-30	2025-10-29T09:00:00	国土交通省 関東地方整備局
ptn-23	194	ann-33	33	トンネル防災設備工事（第3期）	東北支店	not_started	all_met	5	open_competitive	電気工事	神奈川県	2025-10-23	2025-11-30	2025-10-25T13:31:00	国土交通省 関東地方整備局
ptn-23	168	ann-28	28	河川環境整備工事（第8期）	横浜支店	in_progress	unmet	4	opinion_request	土木工事	東京都	2025-10-19	2025-11-29	2025-10-22T14:29:00	国土交通省 関東地方整備局
ptn-23	155	ann-26	26	令和7年度 本地区水門改修工事	新潟支店	in_progress	unmet	3	open_counter	機械設備工事	東京都	2025-10-29	2025-11-28	2025-10-31T10:58:00	国土交通省 関東地方整備局
ptn-24	253	ann-43	43	公民館改修工事（第3期）	横浜支店	not_started	all_met	2	opinion_request	建築工事	長野県	2025-11-04	2025-12-03	2025-11-05T09:24:00	国土交通省 関東地方整備局
ptn-24	227	ann-38	38	学校校舎改修工事（第8期）	福岡支店	in_progress	unmet	4	negotiated_contract	建築工事	新潟県	2025-10-24	2025-12-02	2025-10-26T10:22:00	国土交通省 関東地方整備局
ptn-24	240	ann-40	40	消防署建設工事（丙地区・第10工区）	静岡支店	completed	unmet	5	preferred_designation	建築工事	石川県	2025-10-28	2025-12-02	2025-10-31T14:53:00	国土交通省 関東地方整備局
ptn-24	214	ann-36	36	令和8年度 B地区庁舎建替工事	四国支店	not_started	unmet	4	designated_competitive	建築工事	神奈川県	2025-10-24	2025-12-01	2025-10-25T15:51:00	国土交通省 関東地方整備局
ptn-24	188	ann-32	32	トンネル換気設備工事（下流工区）	沖縄支店	in_progress	all_met	5	open_competitive	機械設備工事	東京都	2025-11-02	2025-11-30	2025-11-04T16:49:00	国土交通省 関東地方整備局
ptn-24	201	ann-34	34	右岸トンネル内装板補修工事その4	仙台支店	not_started	other_only_unmet	3	open_competitive	土木工事	神奈川県	2025-10-29	2025-11-30	2025-11-01T11:20:00	国土交通省 関東地方整備局
ptn-24	175	ann-30	30	トンネル補修工事（第四地区・第10工区）	関東支店	in_progress	all_met	5	other	土木工事	東京都	2025-11-01	2025-11-29	2025-11-02T12:18:00	国土交通省 関東地方整備局
ptn-24	162	ann-27	27	樋門補修工事（第一工区）	東京支店	not_started	unmet	4	document_request	土木工事	東京都	2025-10-21	2025-11-28	2025-10-24T17:47:00	国土交通省 関東地方整備局
ptn-25	273	ann-46	46	令和6年度 本地区市営住宅屋上防水工事	東北支店	not_started	other_only_unmet	4	open_competitive	防水工事	静岡県	2025-11-06	2025-12-04	2025-11-09T11:44:00	国土交通省 関東地方整備局
