partner_id	no	name	postalCode	address	phone	email	fax	url	surveyCount	rating	resultCount	representative	established	capital	employeeCount
ptn-11	11	有限会社吉田塗装	330-0854	埼玉県さいたま市大宮区桜木町1-7-5	07-1010-5010	info@partner11.co.jp	07-1010-5011	https://www.partner11.co.jp	15	1.5	20	吉田十郎	1960	1100000000	110
ptn-12	12	山本防水合同会社	260-0015	千葉県千葉市中央区富士見2-3-1	08-1011-5011	info@partner12.co.jp	08-1011-5012	https://www.partner12.co.jp	16	2	21	山本勝男	1961	1200000000	120
ptn-13	13	株式会社松本管工	100-0005	東京都千代田区丸の内1-9-1	03-1012-5012	info@partner13.co.jp	03-1012-5013		17	2.5	22	松本正雄	1962	1300000000	130
ptn-14	14	井上空調有限会社	135-0061	東京都江東区豊洲3-3-3	04-1013-5013	info@partner14.co.jp	04-1013-5014	https://www.partner14.co.jp	18	3	23	井上誠	1963	1400000000	140
ptn-15	15	合同会社木村造園	160-0023	東京都新宿区西新宿2-8-1	05-1014-5014	info@partner15.co.jp	05-1014-5015	https://www.partner15.co.jp	19	0	24	木村健一	1964	1500000000	150
ptn-16	16	林エンジニアリング株式会社	108-0075	東京都港区港南2-16-1	06-1015-5015	info@partner16.co.jp	06-1015-5016	https://www.partner16.co.jp	20	0.5	25	林和夫	1965	1600000000	160
ptn-17	17	有限会社斎藤テクノ	220-0004	神奈川県横浜市西区北幸1-11-1	07-1016-5016	info@partner17.co.jp	07-1016-5017		21	1	26	斎藤幸男	1966	1700000000	170
ptn-18	18	清水技研合同会社	222-0033	神奈川県横浜市港北区新横浜2-3-19	08-1017-5017	info@partner18.co.jp	08-1017-5018	https://www.partner18.co.jp	22	1.5	27	清水浩二	1967	1800000000	180
ptn-19	19	株式会社森建設	950-0087	新潟県新潟市中央区東大通1-2-23	03-1018-5018	info@partner19.co.jp	03-1018-5019	https://www.partner19.co.jp	23	2	28	森隆夫	1968	1900000000	190
ptn-20	20	池田土木有限会社	930-0004	富山県富山市桜橋通り3-1	04-1019-5019	info@partner20.co.jp	04-1019-5020	https://www.partner20.co.jp	24	2.5	29	池田英二	1969	2000000000	200
ptn-21	21	合同会社橋本工業	920-0856	石川県金沢市昭和町16-1	05-1020-5020	info@partner21.co.jp	05-1020-5021		25	3	30	橋本正義	1970	2100000000	210
ptn-22	22	石川工務店株式会社	910-0006	福井県福井市中央1-2-1	06-1021-5021	info@partner22.co.jp	06-1021-5022	https://www.partner22.co.jp	26	0	31	石川進	1971	2200000000	220
ptn-23	23	有限会社前田組	400-0031	山梨県甲府市丸の内1-6-1	07-1022-5022	info@partner23.co.jp	07-1022-5023	https://www.partner23.co.jp	27	0.5	32	前田俊夫	1972	2300000000	230
ptn-24	24	小川土建合同会社	380-0936	長野県長野市岡田178-13	08-1023-5023	info@partner24.co.jp	08-1023-5024	https://www.partner24.co.jp	28	1	33	小川明	1973	2400000000	240
ptn-25	25	株式会社長谷川建築	500-8175	岐阜県岐阜市長住町2-6	03-1024-5024	info@partner25.co.jp	03-1024-5025		29	1.5	34	長谷川守	1974	2500000000	250
ptn-26	26	藤田設備有限会社	420-0853	静岡県静岡市葵区追手町9-6	04-1025-5025	info@partner26.co.jp	04-1025-5026	https://www.partner26.co.jp	30	2	35	藤田弘	1975	2600000000	260
ptn-27	27	合同会社岡田電気	460-0003	愛知県名古屋市中区錦1-18-22	05-1026-5026	info@partner27.co.jp	05-1026-5027	https://www.partner27.co.jp	31	2.5	36	岡田功	1976	2700000000	270
ptn-28	28	後藤舗装株式会社	514-0009	三重県津市羽所町700	06-1027-5027	info@partner28.co.jp	06-1027-5028	https://www.partner28.co.jp	32	3	37	後藤隆	1977	2800000000	280
ptn-29	29	有限会社近藤塗装	520-0044	滋賀県大津市京町3-1-1	07-1028-5028	info@partner29.co.jp	07-1028-5029		33	0	38	近藤誠一	1978	2900000000	290
ptn-30	30	坂本防水合同会社	604-8005	京都府京都市中京区河原町通三条上る	08-1029-5029	info@partner30.co.jp	08-1029-5030	https://www.partner30.co.jp	34	0.5	39	坂本龍馬	1979	3000000000	300
ptn-31	31	株式会社遠藤管工	530-0001	大阪府大阪市北区梅田1-11-4	03-1030-5030	info@partner31.co.jp	03-1030-5031	https://www.partner31.co.jp	35	1	40	山田太郎	1980	3100000000	310
ptn-32	32	青木空調有限会社	542-0076	大阪府大阪市中央区難波5-1-60	04-1031-5031	info@partner32.co.jp	04-1031-5032	https://www.partner32.co.jp	36	1.5	41	田中一郎	1981	3200000000	320
ptn-33	33	合同会社村上造園	650-0021	兵庫県神戸市中央区三宮町1-9-1	05-1032-5032	info@partner33.co.jp	05-1032-5033		37	2	42	佐藤次郎	1982	3300000000	330
ptn-34	34	太田エンジニアリング株式会社	630-8115	奈良県奈良市大宮町1-1-25	06-1033-5033	info@partner34.co.jp	06-1033-5034	https://www.partner34.co.jp	38	2.5	43	鈴木三郎	1983	3400000000	340
ptn-35	35	有限会社金子テクノ	640-8203	和歌山県和歌山市東蔵前丁3-6	07-1034-5034	info@partner35.co.jp	07-1034-5035	https://www.partner35.co.jp	39	3	44	高橋四郎	1984	3500000000	350
ptn-36	36	藤井技研合同会社	680-0833	鳥取県鳥取市末広温泉町160	08-1035-5035	info@partner36.co.jp	08-1035-5036	https://www.partner36.co.jp	40	0	45	渡辺五郎	1985	3600000000	360
ptn-37	37	株式会社福田建設	690-0887	島根県松江市殿町111	03-1036-5036	info@partner37.co.jp	03-1036-5037		41	0.5	46	伊藤六郎	1986	3700000000	370
ptn-38	38	西村土木有限会社	700-0821	岡山県岡山市北区中山下1-8-45	04-1037-5037	info@partner38.co.jp	04-1037-5038	https://www.partner38.co.jp	42	1	47	中村七郎	1987	3800000000	380
ptn-39	39	合同会社三浦工業	730-0011	広島県広島市中区基町6-78	05-1038-5038	info@partner39.co.jp	05-1038-5039	https://www.partner39.co.jp	43	1.5	48	小林八郎	1988	3900000000	390
ptn-40	40	岡本工務店株式会社	753-0074	山口県山口市中央4-5-16	06-1039-5039	info@partner40.co.jp	06-1039-5040	https://www.partner40.co.jp	44	2	49	加藤九郎	1989	4000000000	400
ptn-41	41	有限会社中島組	770-0831	徳島県徳島市寺島本町西1-5	07-1040-5040	info@partner41.co.jp	07-1040-5041		45	2.5	50	吉田十郎	1990	4100000000	410
ptn-42	42	松田土建合同会社	760-0023	香川県高松市寿町1-1-12	08-1041-5041	info@partner42.co.jp	08-1041-5042	https://www.partner42.co.jp	46	3	51	山本勝男	1991	4200000000	420
ptn-43	43	株式会社原田建築	790-0003	愛媛県松山市三番町4-7-2	03-1042-5042	info@partner43.co.jp	03-1042-5043	https://www.partner43.co.jp	47	0	52	松本正雄	1992	4300000000	430
ptn-44	44	小野設備有限会社	780-0870	高知県高知市本町4-1-32	04-1043-5043	info@partner44.co.jp	04-1043-5044	https://www.partner44.co.jp	48	0.5	53	井上誠	1993	4400000000	440
ptn-45	45	合同会社田村電気	810-0001	福岡県福岡市中央区天神1-8-1	05-1044-5044	info@partner45.co.jp	05-1044-5045		49	1	54	木村健一	1994	4500000000	450
ptn-46	46	竹内舗装株式会社	812-0011	福岡県福岡市博多区博多駅前2-1-1	06-1045-5045	info@partner46.co.jp	06-1045-5046	https://www.partner46.co.jp	50	1.5	55	林和夫	1995	4600000000	460
ptn-47	47	有限会社中川塗装	840-0801	佐賀県佐賀市駅前中央1-4-17	07-1046-5046	info@partner47.co.jp	07-1046-5047	https://www.partner47.co.jp	51	2	56	斎藤幸男	1996	4700000000	470
ptn-48	48	和田防水合同会社	850-0057	長崎県長崎市大黒町3-1	08-1047-5047	info@partner48.co.jp	08-1047-5048	https://www.partner48.co.jp	52	2.5	57	清水浩二	1997	4800000000	480
ptn-49	49	株式会社石井管工	860-0806	熊本県熊本市中央区花畑町4-18	03-1048-5048	info@partner49.co.jp	03-1048-5049		53	3	58	森隆夫	1998	4900000000	490
ptn-50	50	上田空調有限会社	870-0035	大分県大分市中央町1-1-5	04-1049-5049	info@partner50.co.jp	04-1049-5050	https://www.partner50.co.jp	54	0	59	池田英二	1999	5000000000	500
ptn-51	51	合同会社山田造園	880-0001	宮崎県宮崎市橘通西2-1-4	05-1050-5050	info@partner51.co.jp	05-1050-5051	https://www.partner51.co.jp	55	0.5	60	橋本正義	2000	100000000	510
ptn-52	52	田中エンジニアリング株式会社	892-0842	鹿児島県鹿児島市東千石町1-38	06-1051-5051	info@partner52.co.jp	06-1051-5052	https://www.partner52.co.jp	56	1	61	石川進	2001	200000000	520
ptn-53	53	有限会社佐藤テクノ	900-0015	沖縄県那覇市久茂地1-1-1	07-1052-5052	info@partner53.co.jp	07-1052-5053		57	1.5	62	前田俊夫	2002	300000000	530
ptn-54	54	鈴木技研合同会社	001-0011	北海道札幌市北区北11条西4-2-1	08-1053-5053	info@partner54.co.jp	08-1053-5054	https://www.partner54.co.jp	58	2	63	小川明	2003	400000000	540
ptn-55	55	株式会社高橋建設	030-0801	青森県青森市新町1-3-7	03-1054-5054	info@partner55.co.jp	03-1054-5055	https://www.partner55.co.jp	59	2.5	64	長谷川守	2004	500000000	550
ptn-56	56	渡辺土木有限会社	020-0022	岩手県盛岡市大通1-2-1	04-1055-5055	info@partner56.co.jp	04-1055-5056	https://www.partner56.co.jp	60	3	65	藤田弘	2005	600000000	560
ptn-57	57	合同会社伊藤工業	980-0021	宮城県仙台市青葉区中央2-9-27	05-1056-5056	info@partner57.co.jp	05-1056-5057		61	0	66	岡田功	2006	700000000	570
ptn-58	58	中村工務店株式会社	010-0001	秋田県秋田市中通1-4-3	06-1057-5057	info@partner58.co.jp	06-1057-5058	https://www.partner58.co.jp	62	0.5	67	後藤隆	2007	800000000	580
ptn-59	59	有限会社小林組	990-0039	山形県山形市香澄町1-3-15	07-1058-5058	info@partner59.co.jp	07-1058-5059	https://www.partner59.co.jp	63	1	68	近藤誠一	2008	900000000	590
ptn-60	60	加藤土建合同会社	960-8031	福島県福島市栄町11-25	08-1059-5059	info@partner60.co.jp	08-1059-5060	https://www.partner60.co.jp	64	1.5	69	坂本龍馬	2009	1000000000	600
ptn-61	61	株式会社吉田建築	310-0801	茨城県水戸市桜川1-1-25	03-1060-5060	info@partner61.co.jp	03-1060-5061		65	2	70	山田太郎	2010	1100000000	610
ptn-62	62	山本設備有限会社	320-0033	栃木県宇都宮市本町4-15	04-1061-5061	info@partner62.co.jp	04-1061-5062	https://www.partner62.co.jp	66	2.5	71	田中一郎	2011	1200000000	620
ptn-63	63	合同会社松本電気	371-0026	群馬県前橋市大手町1-1-1	05-1062-5062	info@partner63.co.jp	05-1062-5063	https://www.partner63.co.jp	67	3	72	佐藤次郎	2012	1300000000	630
ptn-64	64	井上舗装株式会社	330-0854	埼玉県さいたま市大宮区桜木町1-7-5	06-1063-5063	info@partner64.co.jp	06-1063-5064	https://www.partner64.co.jp	68	0	73	鈴木三郎	2013	1400000000	640
ptn-65	65	有限会社木村塗装	260-0015	千葉県千葉市中央区富士見2-3-1	07-1064-5064	info@partner65.co.jp	07-1064-5065		69	0.5	74	高橋四郎	2014	1500000000	650
ptn-66	66	林防水合同会社	100-0005	東京都千代田区丸の内1-9-1	08-1065-5065	info@partner66.co.jp	08-1065-5066	https://www.partner66.co.jp	70	1	75	渡辺五郎	2015	1600000000	660
ptn-67	67	株式会社斎藤管工	135-0061	東京都江東区豊洲3-3-3	03-1066-5066	info@partner67.co.jp	03-1066-5067	https://www.partner67.co.jp	71	1.5	76	伊藤六郎	2016	1700000000	670
ptn-68	68	清水空調有限会社	160-0023	東京都新宿区西新宿2-8-1	04-1067-5067	info@partner68.co.jp	04-1067-5068	https://www.partner68.co.jp	72	2	77	中村七郎	2017	1800000000	680
ptn-69	69	合同会社森造園	108-0075	東京都港区港南2-16-1	05-1068-5068	info@partner69.co.jp	05-1068-5069		73	2.5	78	小林八郎	2018	1900000000	690
ptn-70	70	池田エンジニアリング株式会社	220-0004	神奈川県横浜市西区北幸1-11-1	06-1069-5069	info@partner70.co.jp	06-1069-5070	https://www.partner70.co.jp	74	3	79	加藤九郎	2019	2000000000	700
ptn-71	71	有限会社橋本テクノ	222-0033	神奈川県横浜市港北区新横浜2-3-19	07-1070-5070	info@partner71.co.jp	07-1070-5071	https://www.partner71.co.jp	75	0	80	吉田十郎	2020	2100000000	710
ptn-72	72	石川技研合同会社	950-0087	新潟県新潟市中央区東大通1-2-23	08-1071-5071	info@partner72.co.jp	08-1071-5072	https://www.partner72.co.jp	76	0.5	81	山本勝男	1950	2200000000	720
ptn-73	73	株式会社前田建設	930-0004	富山県富山市桜橋通り3-1	03-1072-5072	info@partner73.co.jp	03-1072-5073		77	1	82	松本正雄	1951	2300000000	730
ptn-74	74	小川土木有限会社	920-0856	石川県金沢市昭和町16-1	04-1073-5073	info@partner74.co.jp	04-1073-5074	https://www.partner74.co.jp	78	1.5	83	井上誠	1952	2400000000	740
ptn-75	75	合同会社長谷川工業	910-0006	福井県福井市中央1-2-1	05-1074-5074	info@partner75.co.jp	05-1074-5075	https://www.partner75.co.jp	79	2	84	木村健一	1953	2500000000	750
ptn-76	76	藤田工務店株式会社	400-0031	山梨県甲府市丸の内1-6-1	06-1075-5075	info@partner76.co.jp	06-1075-5076	https://www.partner76.co.jp	80	2.5	85	林和夫	1954	2600000000	760
ptn-77	77	有限会社岡田組	380-0936	長野県長野市岡田178-13	07-1076-5076	info@partner77.co.jp	07-1076-5077		81	3	86	斎藤幸男	1955	2700000000	770
ptn-78	78	後藤土建合同会社	500-8175	岐阜県岐阜市長住町2-6	08-1077-5077	info@partner78.co.jp	08-1077-5078	https://www.partner78.co.jp	82	0	87	清水浩二	1956	2800000000	780
ptn-79	79	株式会社近藤建築	420-0853	静岡県静岡市葵区追手町9-6	03-1078-5078	info@partner79.co.jp	03-1078-5079	https://www.partner79.co.jp	83	0.5	88	森隆夫	1957	2900000000	790
ptn-80	80	坂本設備有限会社	460-0003	愛知県名古屋市中区錦1-18-22	04-1079-5079	info@partner80.co.jp	04-1079-5080	https://www.partner80.co.jp	84	1	89	池田英二	1958	3000000000	800
ptn-81	81	合同会社遠藤電気	514-0009	三重県津市羽所町700	05-1080-5080	info@partner81.co.jp	05-1080-5081		85	1.5	90	橋本正義	1959	3100000000	810
ptn-82	82	青木舗装株式会社	520-0044	滋賀県大津市京町3-1-1	06-1081-5081	info@partner82.co.jp	06-1081-5082	https://www.partner82.co.jp	86	2	91	石川進	1960	3200000000	820
ptn-83	83	有限会社村上塗装	604-8005	京都府京都市中京区河原町通三条上る	07-1082-5082	info@partner83.co.jp	07-1082-5083	https://www.partner83.co.jp	87	2.5	92	前田俊夫	1961	3300000000	830
ptn-84	84	太田防水合同会社	530-0001	大阪府大阪市北区梅田1-11-4	08-1083-5083	info@partner84.co.jp	08-1083-5084	https://www.partner84.co.jp	88	3	93	小川明	1962	3400000000	840
ptn-85	85	株式会社金子管工	542-0076	大阪府大阪市中央区難波5-1-60	03-1084-5084	info@partner85.co.jp	03-1084-5085		89	0	94	長谷川守	1963	3500000000	850
ptn-86	86	藤井空調有限会社	650-0021	兵庫県神戸市中央区三宮町1-9-1	04-1085-5085	info@partner86.co.jp	04-1085-5086	https://www.partner86.co.jp	90	0.5	95	藤田弘	1964	3600000000	860
ptn-87	87	合同会社福田造園	630-8115	奈良県奈良市大宮町1-1-25	05-1086-5086	info@partner87.co.jp	05-1086-5087	https://www.partner87.co.jp	91	1	96	岡田功	1965	3700000000	870
ptn-88	88	西村エンジニアリング株式会社	640-8203	和歌山県和歌山市東蔵前丁3-6	06-1087-5087	info@partner88.co.jp	06-1087-5088	https://www.partner88.co.jp	92	1.5	97	後藤隆	1966	3800000000	880
ptn-89	89	有限会社三浦テクノ	680-0833	鳥取県鳥取市末広温泉町160	07-1088-5088	info@partner89.co.jp	07-1088-5089		93	2	98	近藤誠一	1967	3900000000	890
ptn-90	90	岡本技研合同会社	690-0887	島根県松江市殿町111	08-1089-5089	info@partner90.co.jp	08-1089-5090	https://www.partner90.co.jp	94	2.5	99	坂本龍馬	1968	4000000000	900
ptn-91	91	株式会社中島建設	700-0821	岡山県岡山市北区中山下1-8-45	03-1090-5090	info@partner91.co.jp	03-1090-5091	https://www.partner91.co.jp	95	3	100	山田太郎	1969	4100000000	910
ptn-92	92	松田土木有限会社	730-0011	広島県広島市中区基町6-78	04-1091-5091	info@partner92.co.jp	04-1091-5092	https://www.partner92.co.jp	96	0	101	田中一郎	1970	4200000000	920
ptn-93	93	合同会社原田工業	753-0074	山口県山口市中央4-5-16	05-1092-5092	info@partner93.co.jp	05-1092-5093		97	0.5	102	佐藤次郎	1971	4300000000	930
ptn-94	94	小野工務店株式会社	770-0831	徳島県徳島市寺島本町西1-5	06-1093-5093	info@partner94.co.jp	06-1093-5094	https://www.partner94.co.jp	98	1	103	鈴木三郎	1972	4400000000	940
ptn-95	95	有限会社田村組	760-0023	香川県高松市寿町1-1-12	07-1094-5094	info@partner95.co.jp	07-1094-5095	https://www.partner95.co.jp	99	1.5	104	高橋四郎	1973	4500000000	950
ptn-96	96	竹内土建合同会社	790-0003	愛媛県松山市三番町4-7-2	08-1095-5095	info@partner96.co.jp	08-1095-5096	https://www.partner96.co.jp	100	2	105	渡辺五郎	1974	4600000000	960
ptn-97	97	株式会社中川建築	780-0870	高知県高知市本町4-1-32	03-1096-5096	info@partner97.co.jp	03-1096-5097		101	2.5	106	伊藤六郎	1975	4700000000	970
ptn-98	98	和田設備有限会社	810-0001	福岡県福岡市中央区天神1-8-1	04-1097-5097	info@partner98.co.jp	04-1097-5098	https://www.partner98.co.jp	102	3	107	中村七郎	1976	4800000000	980
ptn-99	99	合同会社石井電気	812-0011	福岡県福岡市博多区博多駅前2-1-1	05-1098-5098	info@partner99.co.jp	05-1098-5099	https://www.partner99.co.jp	103	0	108	小林八郎	1977	4900000000	990
ptn-100	100	上田舗装株式会社	840-0801	佐賀県佐賀市駅前中央1-4-17	06-1099-5099	info@partner100.co.jp	06-1099-5100	https://www.partner100.co.jp	104	0.5	109	加藤九郎	1978	5000000000	1000
ptn-101	101	有限会社山田塗装	850-0057	長崎県長崎市大黒町3-1	07-1100-5100	info@partner101.co.jp	07-1100-5101		5	1	110	吉田十郎	1979	100000000	1010
ptn-102	102	田中防水合同会社	860-0806	熊本県熊本市中央区花畑町4-18	08-1101-5101	info@partner102.co.jp	08-1101-5102	https://www.partner102.co.jp	6	1.5	111	山本勝男	1980	200000000	1020
ptn-103	103	株式会社佐藤管工	870-0035	大分県大分市中央町1-1-5	03-1102-5102	info@partner103.co.jp	03-1102-5103	https://www.partner103.co.jp	7	2	112	松本正雄	1981	300000000	1030
ptn-104	104	鈴木空調有限会社	880-0001	宮崎県宮崎市橘通西2-1-4	04-1103-5103	info@partner104.co.jp	04-1103-5104	https://www.partner104.co.jp	8	2.5	113	井上誠	1982	400000000	1040
ptn-105	105	合同会社高橋造園	892-0842	鹿児島県鹿児島市東千石町1-38	05-1104-5104	info@partner105.co.jp	05-1104-5105		9	3	114	木村健一	1983	500000000	1050
ptn-106	106	渡辺エンジニアリング株式会社	900-0015	沖縄県那覇市久茂地1-1-1	06-1105-5105	info@partner106.co.jp	06-1105-5106	https://www.partner106.co.jp	10	0	115	林和夫	1984	600000000	1060
ptn-107	107	有限会社伊藤テクノ	001-0011	北海道札幌市北区北11条西4-2-1	07-1106-5106	info@partner107.co.jp	07-1106-5107	https://www.partner107.co.jp	11	0.5	116	斎藤幸男	1985	700000000	1070
ptn-108	108	中村技研合同会社	030-0801	青森県青森市新町1-3-7	08-1107-5107	info@partner108.co.jp	08-1107-5108	https://www.partner108.co.jp	12	1	117	清水浩二	1986	800000000	1080
ptn-109	109	株式会社小林建設	020-0022	岩手県盛岡市大通1-2-1	03-1108-5108	info@partner109.co.jp	03-1108-5109		13	1.5	118	森隆夫	1987	900000000	1090
ptn-110	110	加藤土木有限会社	980-0021	宮城県仙台市青葉区中央2-9-27	04-1109-5109	info@partner110.co.jp	04-1109-5110	https://www.partner110.co.jp	14	2	119	池田英二	1988	1000000000	1100
ptn-111	111	合同会社吉田工業	010-0001	秋田県秋田市中通1-4-3	05-1110-5110	info@partner111.co.jp	05-1110-5111	https://www.partner111.co.jp	15	2.5	120	橋本正義	1989	1100000000	1110
ptn-112	112	山本工務店株式会社	990-0039	山形県山形市香澄町1-3-15	06-1111-5111	info@partner112.co.jp	06-1111-5112	https://www.partner112.co.jp	16	3	121	石川進	1990	1200000000	1120
ptn-113	113	有限会社松本組	960-8031	福島県福島市栄町11-25	07-1112-5112	info@partner113.co.jp	07-1112-5113		17	0	122	前田俊夫	1991	1300000000	1130
ptn-114	114	井上土建合同会社	310-0801	茨城県水戸市桜川1-1-25	08-1113-5113	info@partner114.co.jp	08-1113-5114	https://www.partner114.co.jp	18	0.5	123	小川明	1992	1400000000	1140
ptn-115	115	株式会社木村建築	320-0033	栃木県宇都宮市本町4-15	03-1114-5114	info@partner115.co.jp	03-1114-5115	https://www.partner115.co.jp	19	1	124	長谷川守	1993	1500000000	1150
ptn-116	116	林設備有限会社	371-0026	群馬県前橋市大手町1-1-1	04-1115-5115	info@partner116.co.jp	04-1115-5116	https://www.partner116.co.jp	20	1.5	125	藤田弘	1994	1600000000	1160
ptn-117	117	合同会社斎藤電気	330-0854	埼玉県さいたま市大宮区桜木町1-7-5	05-1116-5116	info@partner117.co.jp	05-1116-5117		21	2	126	岡田功	1995	1700000000	1170
ptn-118	118	清水舗装株式会社	260-0015	千葉県千葉市中央区富士見2-3-1	06-1117-5117	info@partner118.co.jp	06-1117-5118	https://www.partner118.co.jp	22	2.5	127	後藤隆	1996	1800000000	1180
ptn-119	119	有限会社森塗装	100-0005	東京都千代田区丸の内1-9-1	07-1118-5118	info@partner119.co.jp	07-1118-5119	https://www.partner119.co.jp	23	3	128	近藤誠一	1997	1900000000	1190
ptn-120	120	池田防水合同会社	135-0061	東京都江東区豊洲3-3-3	08-1119-5119	info@partner120.co.jp	08-1119-5120	https://www.partner120.co.jp	24	0	129	坂本龍馬	1998	2000000000	1200
ptn-121	121	株式会社橋本管工	160-0023	東京都新宿区西新宿2-8-1	03-1120-5120	info@partner121.co.jp	03-1120-5121		25	0.5	130	山田太郎	1999	2100000000	1210
ptn-122	122	石川空調有限会社	108-0075	東京都港区港南2-16-1	04-1121-5121	info@partner122.co.jp	04-1121-5122	https://www.partner122.co.jp	26	1	131	田中一郎	2000	2200000000	1220
ptn-123	123	合同会社前田造園	220-0004	神奈川県横浜市西区北幸1-11-1	05-1122-5122	info@partner123.co.jp	05-1122-5123	https://www.partner123.co.jp	27	1.5	132	佐藤次郎	2001	2300000000	1230
ptn-124	124	小川エンジニアリング株式会社	222-0033	神奈川県横浜市港北区新横浜2-3-19	06-1123-5123	info@partner124.co.jp	06-1123-5124	https://www.partner124.co.jp	28	2	133	鈴木三郎	2002	2400000000	1240
ptn-125	125	有限会社長谷川テクノ	950-0087	新潟県新潟市中央区東大通1-2-23	07-1124-5124	info@partner125.co.jp	07-1124-5125		29	2.5	134	高橋四郎	2003	2500000000	1250
ptn-126	126	藤田技研合同会社	930-0004	富山県富山市桜橋通り3-1	08-1125-5125	info@partner126.co.jp	08-1125-5126	https://www.partner126.co.jp	30	3	135	渡辺五郎	2004	2600000000	1260
ptn-127	127	株式会社岡田建設	920-0856	石川県金沢市昭和町16-1	03-1126-5126	info@partner127.co.jp	03-1126-5127	https://www.partner127.co.jp	31	0	136	伊藤六郎	2005	2700000000	1270
ptn-128	128	後藤土木有限会社	910-0006	福井県福井市中央1-2-1	04-1127-5127	info@partner128.co.jp	04-1127-5128	https://www.partner128.co.jp	32	0.5	137	中村七郎	2006	2800000000	1280
ptn-129	129	合同会社近藤工業	400-0031	山梨県甲府市丸の内1-6-1	05-1128-5128	info@partner129.co.jp	05-1128-5129		33	1	138	小林八郎	2007	2900000000	1290
ptn-130	130	坂本工務店株式会社	380-0936	長野県長野市岡田178-13	06-1129-5129	info@partner130.co.jp	06-1129-5130	https://www.partner130.co.jp	34	1.5	139	加藤九郎	2008	3000000000	1300
ptn-131	131	有限会社遠藤組	500-8175	岐阜県岐阜市長住町2-6	07-1130-5130	info@partner131.co.jp	07-1130-5131	https://www.partner131.co.jp	35	2	140	吉田十郎	2009	3100000000	1310
ptn-132	132	青木土建合同会社	420-0853	静岡県静岡市葵区追手町9-6	08-1131-5131	info@partner132.co.jp	08-1131-5132	https://www.partner132.co.jp	36	2.5	141	山本勝男	2010	3200000000	1320
ptn-133	133	株式会社村上建築	460-0003	愛知県名古屋市中区錦1-18-22	03-1132-5132	info@partner133.co.jp	03-1132-5133		37	3	142	松本正雄	2011	3300000000	1330
ptn-134	134	太田設備有限会社	514-0009	三重県津市羽所町700	04-1133-5133	info@partner134.co.jp	04-1133-5134	https://www.partner134.co.jp	38	0	143	井上誠	2012	3400000000	1340
ptn-135	135	合同会社金子電気	520-0044	滋賀県大津市京町3-1-1	05-1134-5134	info@partner135.co.jp	05-1134-5135	https://www.partner135.co.jp	39	0.5	144	木村健一	2013	3500000000	1350
ptn-136	136	藤井舗装株式会社	604-8005	京都府京都市中京区河原町通三条上る	06-1135-5135	info@partner136.co.jp	06-1135-5136	https://www.partner136.co.jp	40	1	145	林和夫	2014	3600000000	1360
ptn-137	137	有限会社福田塗装	530-0001	大阪府大阪市北区梅田1-11-4	07-1136-5136	info@partner137.co.jp	07-1136-5137		41	1.5	146	斎藤幸男	2015	3700000000	1370
ptn-138	138	西村防水合同会社	542-0076	大阪府大阪市中央区難波5-1-60	08-1137-5137	info@partner138.co.jp	08-1137-5138	https://www.partner138.co.jp	42	2	147	清水浩二	2016	3800000000	1380
