index	Unnamed: 0	Unnamed: 1	Unnamed: 2	区分	入札公告（現在募集中）	入札公告（現在募集中）2	備考	落札情報（過去）	落札情報（過去）2	備考.1
14	陸上自衛隊	東北方面		工事（R7）	<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-2.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-2.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-2.htm		<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-2.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-2.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-2.htm	
15	陸上自衛隊	東北方面		役務（R7）	<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-3.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-3.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-3.htm		<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-3.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-3.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-3.htm	
16	陸上自衛隊	東北方面		売払（R7）	<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-4.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-4.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-4.htm		<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-4.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-4.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-4.htm	
17	陸上自衛隊	東北方面		糧食（R7）	<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-5.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-5.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-5.htm		<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-5.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-5.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-5.htm	
18	陸上自衛隊	東北方面		オープンカウンター	<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter7.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter7.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter7.htm		<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter7.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter7.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter7.htm	会計隊別
19	陸上自衛隊	東北方面		物品（R6）	<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-1.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-1.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-1.htm		<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-1.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-1.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-1.htm	備考欄に結果と記載あり
20	陸上自衛隊	東北方面		工事（R6）	<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-2.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-2.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-2.htm		<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-2.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-2.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-2.htm	〃
21	陸上自衛隊	東北方面		役務（R6）	<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-3.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-3.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-3.htm		<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-3.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-3.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-3.htm	〃
22	陸上自衛隊	東北方面		売払（R6）	<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-4.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-4.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-4.htm		<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-4.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-4.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-4.htm	〃
23	陸上自衛隊	東北方面		糧食（R6）	<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-5.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-5.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-5.htm		<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-5.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-5.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou6-5.htm	〃
24	陸上自衛隊	東北方面		オープンカウンター（R6）	<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter6.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter6.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter6.htm		<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter6.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter6.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter6.htm	〃
25	陸上自衛隊	東北方面		物品（R5）	<a href='nan'>nan</a>			<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou5-1.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou5-1.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou5-1.htm	〃
26	陸上自衛隊	東北方面		工事（R5）	<a href='nan'>nan</a>			<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou5-2.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou5-2.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou5-2.htm	〃
27	陸上自衛隊	東北方面		役務（R5）	<a href='nan'>nan</a>			<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou5-3.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou5-3.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou5-3.htm	〃
28	陸上自衛隊	東北方面		売払（R5）	<a href='nan'>nan</a>			<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou5-4.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou5-4.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou5-4.htm	〃
29	陸上自衛隊	東北方面		糧食（R5）	<a href='nan'>nan</a>			<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou5-5.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou5-5.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou5-5.htm	〃
30	陸上自衛隊	東北方面		オープンカウンター（R5）	<a href='nan'>nan</a>			<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter5.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter5.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter5.htm	〃
31	陸上自衛隊	東北方面		物品（R4）	<a href='nan'>nan</a>			<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou4-1.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou4-1.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou4-1.htm	〃
32	陸上自衛隊	東北方面		工事（R4）	<a href='nan'>nan</a>			<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou4-2.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou4-2.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou4-2.htm	〃
33	陸上自衛隊	東北方面		役務（R4）	<a href='nan'>nan</a>			<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou4-3.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou4-3.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou4-3.htm	〃
34	陸上自衛隊	東北方面		売払（R4）	<a href='nan'>nan</a>			<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou4-4.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou4-4.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou4-4.htm	〃
35	陸上自衛隊	東北方面		糧食（R4）	<a href='nan'>nan</a>			<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou4-5.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou4-5.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou4-5.htm	〃
36	陸上自衛隊	東北方面		オープンカウンター（R4）	<a href='nan'>nan</a>			<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter4.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter4.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter4.htm	〃
37	陸上自衛隊	東北方面		物品（R3）	<a href='nan'>nan</a>			<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou3-1.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou3-1.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou3-1.htm	〃
38	陸上自衛隊	東北方面		工事（R3）	<a href='nan'>nan</a>			<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou3-2.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou3-2.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou3-2.htm	〃
39	陸上自衛隊	東北方面		役務（R3）	<a href='nan'>nan</a>			<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou3-3.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou3-3.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou3-3.htm	〃
40	陸上自衛隊	東北方面		売払（R3）	<a href='nan'>nan</a>			<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou3-4.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou3-4.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou3-4.htm	〃
41	陸上自衛隊	東北方面		糧食（R3）	<a href='nan'>nan</a>			<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou3-5.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou3-5.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou3-5.htm	〃
42	陸上自衛隊	東北方面		オープンカウンター（R3）	<a href='nan'>nan</a>			<a href='https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou3-4.htm'>https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou3-4.htm</a>	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou3-4.htm	〃
43	陸上自衛隊	中部方面隊	会計隊	工事	<a href='https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet002.htm'>https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet002.htm</a>	https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet002.htm	古いwebページの仕様。URLは全てhttps://www.mod.go.jp/gsdf/mae/mafin/k/k.htm で統一のように見えるが実際はタブにカーソルを合わせることで各ページのURLが表示される	<a href='https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet016.htm'>https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet016.htm</a>	https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet016.htm	工事実績のみ
44	陸上自衛隊	中部方面隊		役務	<a href='https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet003.htm'>https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet003.htm</a>	https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet003.htm	〃	<a href='https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet013.htm#RANGE!A1'>https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet013.htm#RANGE!A1</a>	https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet013.htm#RANGE!A1	
45	陸上自衛隊	中部方面隊		物品	<a href='https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet004.htm'>https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet004.htm</a>	https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet004.htm	〃	<a href='nan'>nan</a>		
46	陸上自衛隊	中部方面隊		糧食	<a href='https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet004.htm'>https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet004.htm</a>	https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet004.htm	〃	<a href='nan'>nan</a>		
47	陸上自衛隊	中部方面隊		売払	<a href='https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet006.htm'>https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet006.htm</a>	https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet006.htm	〃	<a href='nan'>nan</a>		
48	陸上自衛隊	中部方面隊		公募	<a href='https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet007.htm'>https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet007.htm</a>	https://www.mod.go.jp/gsdf/mae/mafin/k/k.files/sheet007.htm	〃	<a href='nan'>nan</a>		
49	陸上自衛隊	東部方面隊	会計隊	地域別	<a href='https://www.mod.go.jp/gsdf/eae/kaikei/eafin/nyusatsu_area.html'>https://www.mod.go.jp/gsdf/eae/kaikei/eafin/nyusatsu_area.html</a>	https://www.mod.go.jp/gsdf/eae/kaikei/eafin/nyusatsu_area.html		<a href='https://www.mod.go.jp/gsdf/eae/kaikei/eafin/28kensetsu_kouji.html'>https://www.mod.go.jp/gsdf/eae/kaikei/eafin/28kensetsu_kouji.html</a>	https://www.mod.go.jp/gsdf/eae/kaikei/eafin/28kensetsu_kouji.html	
50	陸上自衛隊	東部方面隊		業種別	<a href='https://www.mod.go.jp/gsdf/eae/kaikei/eafin/nyusatsu_gyousyu.html'>https://www.mod.go.jp/gsdf/eae/kaikei/eafin/nyusatsu_gyousyu.html</a>	https://www.mod.go.jp/gsdf/eae/kaikei/eafin/nyusatsu_gyousyu.html	地域と業種で分かれている	<a href='nan'>nan</a>		
51	陸上自衛隊	西部方面隊	会計隊	物品（R6）	<a href='https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet001.htm'>https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet001.htm</a>	https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet001.htm	古いwebページの仕様。URLは全てhttps://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.htmで統一のように見えるが実際はタブにカーソルを合わせることで各ページのURLが表示される	<a href='https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/jh/tekisei.files/sheet001.htm'>https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/jh/tekisei.files/sheet001.htm</a>	https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/jh/tekisei.files/sheet001.htm	競争入札公共工事（古いwebページの仕様。URLは全てhttps://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.htmで統一のように見えるが実際はタブにカーソルを合わせることで各ページのURLが表示される
52	陸上自衛隊	西部方面隊		工事（R6）	<a href='https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet004.htm'>https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet004.htm</a>	https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet004.htm	〃	<a href='https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/jh/tekisei.files/sheet002.htm'>https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/jh/tekisei.files/sheet002.htm</a>	https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/jh/tekisei.files/sheet002.htm	随意契約公共工事
53	陸上自衛隊	西部方面隊		糧食（R6）	<a href='https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet002.htm'>https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet002.htm</a>	https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet002.htm	〃	<a href='https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/jh/tekisei.files/sheet003.htm'>https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/jh/tekisei.files/sheet003.htm</a>	https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/jh/tekisei.files/sheet003.htm	競争入札物品・役務等
54	陸上自衛隊	西部方面隊		売払（R6）	<a href='https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet003.htm'>https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet003.htm</a>	https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet003.htm	〃	<a href='https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/jh/tekisei.files/sheet004.htm'>https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/jh/tekisei.files/sheet004.htm</a>	https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/jh/tekisei.files/sheet004.htm	随意契約物品・役務等
55	陸上自衛隊	西部方面隊		部外委託（R6）	<a href='https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet005.htm'>https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet005.htm</a>	https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet005.htm	〃	<a href='https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/jisseki.htm'>https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/jisseki.htm</a>	https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/jisseki.htm	建設工事発注実績(R6)
56	陸上自衛隊	西部方面隊		公募（R6）	<a href='https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet006.htm'>https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet006.htm</a>	https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet006.htm	〃	<a href='nan'>nan</a>		
57	陸上自衛隊	西部方面隊		給食業務（R6）	<a href='https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet007.htm'>https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet007.htm</a>	https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R6ippan.files/sheet007.htm	〃	<a href='nan'>nan</a>		
58	陸上自衛隊	西部方面隊		物品（R7）	<a href='https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R7ippan.files/sheet001.htm#RANGE!A1'>https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R7ippan.files/sheet001.htm#RANGE!A1</a>	https://www.mod.go.jp/gsdf/wae/info/nyusatu/wa-fin/kou/R7ippan.files/sheet001.htm#RANGE!A1	〃	<a href='nan'>nan</a>		
